"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 03 11:07:14 MSK 2022","Tue May 03 11:07:19 MSK 2022","5568","test","test_suite_smoke","MainPageTestOther","","","test_open_main_page_second",""
"passed","Tue May 03 11:07:03 MSK 2022","Tue May 03 11:07:09 MSK 2022","5538","test","test_suite_smoke","MainPageTest","","","test_open_main_page",""
